Design;Avg_Obj (Y_bar);Var (S^2_Y);StdDev (S_Y);Half-Width (eps);95% CI;Coeff of Var (CV);Rel Precision (gamma)
S1-U14-R1;0,488;0,0006;0,024;0,0106;"[0,4774 ; 0,4986]";0,0491;0,0218
S1-U18-R4;2,374;0,8888;0,9428;0,418;"[1,9560 ; 2,7920]";0,3971;0,1761
S3-U17-R2;0,7391;0,0509;0,2256;0,1;"[0,6391 ; 0,8391]";0,3052;0,1353
S1-U11-R3;0,4565;0,0001;0,0085;0,0038;"[0,4528 ; 0,4603]";0,0186;0,0082
S2-U17-R2;0,8084;0,0515;0,2268;0,1006;"[0,7078 ; 0,9090]";0,2806;0,1244
S3-U14-R3;0,4593;0,0006;0,024;0,0106;"[0,4486 ; 0,4699]";0,0523;0,0232
S3-U17-R3;0,7418;0,051;0,2259;0,1001;"[0,6417 ; 0,8420]";0,3045;0,135
S3-U13-R3;0,439;0,0002;0,0155;0,0069;"[0,4321 ; 0,4459]";0,0353;0,0157
S1-U14-R4;0,4865;0,0006;0,0241;0,0107;"[0,4759 ; 0,4972]";0,0495;0,0219
S2-U16-R1;0,6272;0,0075;0,0867;0,0384;"[0,5888 ; 0,6657]";0,1382;0,0613
S2-U13-R4;0,5298;0,0003;0,0164;0,0073;"[0,5225 ; 0,5371]";0,031;0,0138
