Rank;Design;Strategy;Urgent_Slots;Rule;Avg_OV;Var;StdDev;Half_Width;CI_Low;CI_High;CV;Rel_Precision;Was_Representative
1;S3-U11-R4;3;11;4;0,4311;8,3e-05;0,0091;0,004;0,4271;0,4352;0,0211;0,0094;False
2;S3-U11-R2;3;11;2;0,4321;8,3e-05;0,0091;0,004;0,428;0,4361;0,0211;0,0094;False
3;S3-U11-R1;3;11;1;0,4325;8,3e-05;0,0091;0,004;0,4284;0,4365;0,021;0,0093;False
4;S3-U11-R3;3;11;3;0,4344;8,5e-05;0,0092;0,0041;0,4304;0,4385;0,0212;0,0094;False
5;S3-U13-R4;3;13;4;0,4357;0,000239;0,0155;0,0069;0,4288;0,4425;0,0355;0,0157;False
6;S3-U13-R2;3;13;2;0,4366;0,000238;0,0154;0,0068;0,4297;0,4434;0,0353;0,0157;False
7;S3-U13-R1;3;13;1;0,4371;0,000238;0,0154;0,0068;0,4302;0,4439;0,0353;0,0156;False
8;S3-U12-R4;3;12;4;0,4378;0,000126;0,0112;0,005;0,4328;0,4428;0,0257;0,0114;False
9;S3-U12-R2;3;12;2;0,4389;0,000129;0,0114;0,005;0,4339;0,444;0,0259;0,0115;False
10;S3-U13-R3;3;13;3;0,439;0,00024;0,0155;0,0069;0,4321;0,4459;0,0353;0,0157;True
11;S3-U12-R1;3;12;1;0,4392;0,000126;0,0112;0,005;0,4342;0,4441;0,0256;0,0113;False
12;S3-U12-R3;3;12;3;0,4413;0,000132;0,0115;0,0051;0,4362;0,4464;0,026;0,0115;False
13;S3-U10-R4;3;10;4;0,4427;6,3e-05;0,0079;0,0035;0,4392;0,4462;0,0179;0,0079;False
14;S3-U10-R2;3;10;2;0,4438;6,4e-05;0,008;0,0035;0,4402;0,4473;0,018;0,008;False
15;S3-U10-R1;3;10;1;0,444;6,3e-05;0,008;0,0035;0,4405;0,4476;0,0179;0,0079;False
16;S3-U10-R3;3;10;3;0,4461;6,5e-05;0,008;0,0036;0,4425;0,4496;0,018;0,008;False
17;S1-U11-R2;1;11;2;0,4529;7,1e-05;0,0084;0,0037;0,4491;0,4566;0,0186;0,0083;False
18;S1-U11-R4;1;11;4;0,4532;7e-05;0,0084;0,0037;0,4495;0,457;0,0185;0,0082;False
19;S1-U11-R1;1;11;1;0,4547;7,1e-05;0,0084;0,0037;0,451;0,4585;0,0185;0,0082;False
20;S3-U14-R4;3;14;4;0,4559;0,00057;0,0239;0,0106;0,4453;0,4665;0,0524;0,0232;False
21;S1-U11-R3;1;11;3;0,4565;7,2e-05;0,0085;0,0038;0,4528;0,4603;0,0186;0,0082;True
22;S3-U14-R2;3;14;2;0,457;0,00057;0,0239;0,0106;0,4464;0,4676;0,0522;0,0232;False
23;S3-U14-R1;3;14;1;0,4573;0,000571;0,0239;0,0106;0,4467;0,4679;0,0523;0,0232;False
24;S1-U10-R2;1;10;2;0,4588;5,3e-05;0,0073;0,0032;0,4556;0,4621;0,0159;0,0071;False
25;S1-U10-R4;1;10;4;0,4592;5,3e-05;0,0073;0,0032;0,456;0,4625;0,0159;0,0071;False
26;S3-U14-R3;3;14;3;0,4593;0,000577;0,024;0,0106;0,4486;0,4699;0,0523;0,0232;True
27;S1-U10-R1;1;10;1;0,4607;5,4e-05;0,0073;0,0033;0,4574;0,464;0,0159;0,0071;False
28;S1-U12-R2;1;12;2;0,4611;0,000116;0,0108;0,0048;0,4564;0,4659;0,0233;0,0103;False
29;S1-U12-R4;1;12;4;0,4616;0,000115;0,0107;0,0048;0,4568;0,4664;0,0233;0,0103;False
30;S1-U10-R3;1;10;3;0,4624;5,5e-05;0,0074;0,0033;0,4591;0,4657;0,0161;0,0071;False
31;S1-U12-R1;1;12;1;0,4631;0,000116;0,0108;0,0048;0,4583;0,4679;0,0232;0,0103;False
32;S1-U13-R2;1;13;2;0,4643;0,000243;0,0156;0,0069;0,4574;0,4713;0,0336;0,0149;False
33;S1-U13-R4;1;13;4;0,4648;0,00024;0,0155;0,0069;0,4579;0,4716;0,0334;0,0148;False
34;S1-U12-R3;1;12;3;0,4649;0,000117;0,0108;0,0048;0,4601;0,4697;0,0233;0,0103;False
35;S1-U13-R1;1;13;1;0,4663;0,000238;0,0154;0,0068;0,4594;0,4731;0,0331;0,0147;False
36;S1-U13-R3;1;13;3;0,4682;0,000241;0,0155;0,0069;0,4613;0,4751;0,0332;0,0147;False
37;S3-U15-R4;3;15;4;0,4782;0,001956;0,0442;0,0196;0,4586;0,4978;0,0925;0,041;False
38;S3-U15-R2;3;15;2;0,4792;0,001956;0,0442;0,0196;0,4596;0,4988;0,0923;0,0409;False
39;S3-U15-R1;3;15;1;0,4795;0,001952;0,0442;0,0196;0,4599;0,4991;0,0921;0,0408;False
40;S3-U15-R3;3;15;3;0,4816;0,001963;0,0443;0,0196;0,4619;0,5012;0,092;0,0408;False
41;S1-U14-R2;1;14;2;0,486;0,000585;0,0242;0,0107;0,4752;0,4967;0,0498;0,0221;False
42;S1-U14-R4;1;14;4;0,4865;0,00058;0,0241;0,0107;0,4759;0,4972;0,0495;0,0219;True
43;S1-U14-R1;1;14;1;0,488;0,000575;0,024;0,0106;0,4774;0,4986;0,0491;0,0218;True
44;S1-U14-R3;1;14;3;0,4899;0,000584;0,0242;0,0107;0,4792;0,5006;0,0493;0,0219;False
45;S1-U15-R2;1;15;2;0,514;0,00201;0,0448;0,0199;0,4941;0,5338;0,0872;0,0387;False
46;S1-U15-R4;1;15;4;0,5146;0,002026;0,045;0,02;0,4947;0,5346;0,0875;0,0388;False
47;S1-U15-R1;1;15;1;0,516;0,002017;0,0449;0,0199;0,4961;0,536;0,087;0,0386;False
48;S1-U15-R3;1;15;3;0,5179;0,002;0,0447;0,0198;0,498;0,5377;0,0864;0,0383;False
49;S2-U13-R4;2;13;4;0,5298;0,00027;0,0164;0,0073;0,5225;0,5371;0,031;0,0138;True
50;S2-U13-R2;2;13;2;0,5303;0,00027;0,0164;0,0073;0,523;0,5376;0,031;0,0138;False
51;S2-U13-R1;2;13;1;0,5304;0,000269;0,0164;0,0073;0,5231;0,5377;0,0309;0,0137;False
52;S2-U13-R3;2;13;3;0,5328;0,000272;0,0165;0,0073;0,5255;0,5402;0,0309;0,0137;False
53;S2-U12-R4;2;12;4;0,5344;0,000122;0,011;0,0049;0,5295;0,5393;0,0206;0,0092;False
54;S2-U11-R4;2;11;4;0,5349;7,9e-05;0,0089;0,0039;0,531;0,5389;0,0167;0,0074;False
55;S2-U12-R1;2;12;1;0,535;0,000122;0,011;0,0049;0,5301;0,5399;0,0206;0,0091;False
56;S2-U12-R2;2;12;2;0,5352;0,000124;0,0111;0,0049;0,5303;0,5402;0,0208;0,0092;False
57;S2-U11-R1;2;11;1;0,5355;8e-05;0,009;0,004;0,5316;0,5395;0,0167;0,0074;False
58;S2-U11-R2;2;11;2;0,5355;8,1e-05;0,009;0,004;0,5315;0,5395;0,0168;0,0075;False
59;S2-U12-R3;2;12;3;0,5375;0,000124;0,0111;0,0049;0,5326;0,5425;0,0207;0,0092;False
60;S2-U11-R3;2;11;3;0,538;8e-05;0,0089;0,004;0,534;0,5419;0,0166;0,0074;False
61;S2-U14-R4;2;14;4;0,5428;0,000622;0,0249;0,0111;0,5318;0,5539;0,046;0,0204;False
62;S2-U14-R1;2;14;1;0,5435;0,000624;0,025;0,0111;0,5324;0,5546;0,046;0,0204;False
63;S2-U14-R2;2;14;2;0,5436;0,000624;0,025;0,0111;0,5325;0,5547;0,046;0,0204;False
64;S2-U14-R3;2;14;3;0,5458;0,000624;0,025;0,0111;0,5348;0,5569;0,0458;0,0203;False
65;S2-U10-R4;2;10;4;0,55;4,6e-05;0,0068;0,003;0,547;0,5531;0,0124;0,0055;False
66;S2-U10-R1;2;10;1;0,5506;4,7e-05;0,0068;0,003;0,5476;0,5537;0,0124;0,0055;False
67;S3-U16-R4;3;16;4;0,5507;0,007198;0,0848;0,0376;0,5131;0,5883;0,1541;0,0683;False
68;S2-U10-R2;2;10;2;0,5509;4,8e-05;0,0069;0,0031;0,5478;0,554;0,0125;0,0056;False
69;S3-U16-R2;3;16;2;0,5515;0,007143;0,0845;0,0375;0,514;0,589;0,1532;0,0679;False
70;S3-U16-R1;3;16;1;0,552;0,007217;0,085;0,0377;0,5144;0,5897;0,1539;0,0682;False
